کلمه,علامت,توضیح ۱,توضیح ۲
وال,0,بقره ۲۴۸ میتونه باشه؟,
ورد,0,,
وفي,0,,
وكل,0,تو سجده ۱۱ واو چسبیده,
ولي,0,هم به معنای سرپرست و هم در آیه سوره کافرون ,
وليتم,0,,
وليقولوا,0,,
وهب,0,,
والارض,0,,
والسماء,0,,
والشمس,0,,
والقران,0,,
والقمر,0,,
والكتاب,0,,
والله,0,,
والنهار,0,,
وربك,0,,
وربنا,0,,
وهذا,0,,
وابل,1,,
واثقكم,1,,
واجفة,1,,
واحد,1,,
واحدا,1,,
واحدة,1,,
واد,1,,
واديا,1,,
واردها,1,,
واردهم,1,,
واردون,1,,
وازرة,1,,
واسع,1,,
واسعا,1,,
واسعة,1,,
واصب,1,,
واصبا,1,,
واعدنا,1,,
واعدوا,1,,
واعية,1,,
واق,1,,
واقع,1,,
والد,1,,
والدة,1,,
والدتك,1,,
والده,1,,
والدي,1,,
واهية,1,,
وبال,1,,
وبيلا,1,,
وثاقه,1,,
وجبت,1,,
وجد,1,,
وجدت,1,,
وجدتم,1,,
وجدتموهم,1,,
وجدتها,1,,
وجدكم,1,,
وجدنا,1,,
وجدناه,1,,
وجدها,1,,
وجدوا,1,,
وجلة,1,,
وجلت,1,,
وجلون,1,,
وجه,1,,
وجهة,1,,
وجهت,1,,
وجهك,1,,
وجهه,1,,
وجهها,1,,
وجهي,1,,
وجوه,1,,
وجوها,1,,
وجوهكم,1,,
وجوههم,1,,
وجيها,1,,
وحده,1,,
وحي,1,,
وحيا,1,,
وحيدا,1,,
وحيه,1,,
ود,1,,
ودا,1,,
ودت,1,,
ودعك,1,,
ودوا,1,,
ودود,1,,
وراء,1,,
وراءكم,1,,
وراءه,1,,
وراءهم,1,,
ورائكم,1,,
ورائه,1,,
ورائهم,1,,
ورائي,1,,
ورثة,1,,
ورثوا,1,,
وردا,1,,
وردة,1,,
وردوها,1,,
ورق,1,,
ورقة,1,,
وزر,1,,
وزرا,1,,
وزرك,1,,
وزنا,1,,
وزيرا,1,,
وسطا,1,,
وسع,1,,
وسعت,1,,
وسعها,1,,
وسق,1,,
وصاكم,1,,
وصفهم,1,,
وصل,1,,
وصلنا,1,,
وصي,1,,
وصية,1,,
وصيلة,1,,
وصينا,1,,
وضع,1,,
وضعت,1,,
وضعتها,1,,
وضعها,1,,
وطئا,1,,
وطرا,1,,
وعاء,1,,
وعد,1,,
وعدا,1,,
وعدتنا,1,,
وعدتهم,1,,
وعدك,1,,
وعدكم,1,,
وعدنا,1,,
وعدناه,1,,
وعدناهم,1,,
وعده,1,,
وعدها,1,,
وعدهم,1,,
وعدوه,1,,توبه ۷۷
وعيد,1,,
وفاقا,1,,
وفدا,1,,
وقارا,1,,
وقب,1,,
وقر,1,,
وقرا,1,,
وقع,1,,
وقعت,1,,
وقفوا,1,,
وقود,1,,
وقودها,1,,
وكلنا,1,,
وكيل,1,,
وكيلا,1,,
ولاهم,1,???,
ولايتهم,1,,
ولتات,1,???,
ولتكن,1,???,
ولد,1,,
ولدا,1,,
ولدان,1,,
ولدت,1,,
ولدنهم,1,,
ولده,1,,
ولكنكم,1,???,
ولكنه,1,???,
ولكنهم,1,???,
ولكني,1,???,
ولوا,1,,
ولياخذوا,1,,
وليتق,1,???,
وليتلطف,1,???,
وليجة,1,,
وليجدوا,1,,
وليحكم,1,,
وليخش,1,???,
وليدا,1,,
وليدع,1,???,
وليستعفف,1,,
وليشهد,1,,
وليصفحوا,1,,
وليضربن,1,,
وليطوفوا,1,,
وليعفوا,1,,
وليكتب,1,,
وليكم,1,,
وليملل,1,???,
ولينا,1,,
وليه,1,,
وليهم,1,,
وليهما,1,,
وليوفوا,1,,
وليومنوا,1,,
وليي,1,,
وهاجا,1,,
وهبت,1,,
وهبنا,1,,
وهن,1,,
وهنا,1,,
وهنوا,1,,
ووري,1,,
ويكان,1,???,
ويكانه,1,???,
ويل,1,,
ويلتا,1,,
ويلتنا,1,,
ويلتي,1,,
ويلك,1,???,
ويلكم,1,,
ويلنا,1,,
ويلههم,1,???,
والبحر,1,,
والبيت,1,,
والتين,1,,
والذاريات,1,,
والسابحات,1,,
والسقف,1,,
والشفع,1,,
والصافات,1,,
والصبح,1,,
والضحي,1,,
والطور,1,,
والعاديات,1,,
والعصر,1,,
والفجر,1,,
والقلم,1,,
والليل,1,,
والمرسلات,1,,
والنازعات,1,,
والناشرات,1,,
والناشطات,1,,
والنجم,1,,
واليوم,1,,
وربي,1,,
وشاهد,1,,
وطور,2,,
وكتاب,1,,
وليال,1,,
ونفس,1,,
ووالد,1,,
وابا,2,,عبس ۳۱
واباءهم,2,,
واباريق,2,,
واباوكم,2,,
واباونا,2,,
وابتغ,2,,
وابتغاء,2,,
وابتغاوكم,2,,
وابتغوا,2,,
وابتلوا,2,,
وابرئ,2,,
وابراهيم,2,,
وابشروا,2,,
وابصارا,2,,
وابصاركم,2,,
وابصارهم,2,,
وابصر,2,,
وابصرهم,2,,
وابعث,2,,
وابقي,2,,
وابكارا,2,,
وابكي,2,,
وابلغكم,2,,
وابن,2,,
وابناءكم,2,,
وابنائنا,2,,
وابناوكم,2,,
وابنها,2,,
وابونا,2,,
وابي,2,,طه ۵۶
وابيضت,2,,
وابيه,2,,
وات,2,,
واتاكم,2,,
واتاني,2,,
واتاه,2,,
واتاهم,2,,
واتبع,2,,
واتبعت,2,,
واتبعتهم,2,,
واتبعك,2,,
واتبعنا,2,,
واتبعناهم,2,,
واتبعوا,2,,
واتبعون,2,,
واتبعوه,2,,
واتت,2,,
واتخذ,2,,
واتخذتموه,2,,
واتخذوا,2,,
واترفناهم,2,,
واترك,2,,
واتق,2,,
واتقوا,2,,
واتقون,2,,
واتقوه,2,,
واتقي,2,,آل عمران ۷۶
واتقين,2,,
واتل,2,,
واتمروا,2,,
واتممت,2,,
واتممناها,2,,
واتموا,2,,
واتنا,2,,
واتوا,2,,
واتوني,2,,
واتوهم,2,,
واتوهن,2,,
واتي,2,,بقره ۱۷۷ میتونه باشه؟
واتيتم,2,,
واتين,2,,
واتينا,2,,
واتيناك,2,,
واتيناه,2,,
واتيناهم,2,,
واتيناهما,2,,
واثابهم,2,,
واثارا,2,,
واثارهم,2,,
واثاروا,2,,
واثر,2,,نازعات ۳۸ میتونه باشه؟
واثقالا,2,,
واثل,2,,
واثما,2,,
واثمك,2,,
واثمهما,2,,
واجتبينا,2,,
واجتبيناهم,2,,
واجتنبوا,2,,
واجدر,2,,
واجر,2,,
واجرا,2,,
واجعل,2,,
واجعلنا,2,,
واجعلني,2,,
واجعله,2,,
واجعلوا,2,,
واجل,2,,
واجلب,2,,
واجمعوا,2,,
واجنبني,2,,
واحاط,2,,
واحاطت,2,,
واحباوه,2,,
واحذرهم,2,,
واحذروا,2,,
واحسن,2,,
واحسنوا,2,,
واحصروهم,2,,
واحصوا,2,,
واحصي,2,,
واحضرت,2,,نساء ۱۲۸
واحفظوا,2,,
واحل,2,,
واحلت,2,,
واحلل,2,,
واحلوا,2,,
واحيا,2,,
واحيط,2,,
واحيي,2,,
واحييتنا,2,,
واحيينا,2,,
واخاف,2,,
واخاه,2,,
واخبتوا,2,,
واختار,2,,
واختلاف,2,,
واختلفوا,2,,
واخذ,2,,
واخذت,2,,
واخذتم,2,,
واخذن,2,,
واخذنا,2,,
واخذناهم,2,,
واخذهم,2,,
واخذوا,2,,
واخر,2,,یوسف ۴۶
واخراج,2,,
واخرت,2,,
واخرج,2,,
واخرجت,2,,
واخرجنا,2,,
واخرجني,2,,
واخرجوا,2,,
واخرجوكم,2,,
واخرجوهم,2,,
واخرنا,2,,مائده ۱۴۴ میتونه باشه؟
واخرون,2,,
واخري,2,,
واخرين,2,,
واخشوا,2,,
واخشون,2,,
واخشوني,2,,
واخفض,2,,
واخفي,2,,
واخلصوا,2,,
واخواتكم,2,,
واخوان,2,,
واخوانكم,2,,
واخوانهم,2,,
واخوته,2,,
واخوك,2,,
واخوه,2,,
واخي,2,,
واخيه,2,,
واداء,2,,
وادبار,2,,
وادبارهم,2,,
وادخل,2,,
وادخلنا,2,,
وادخلناه,2,,
وادخلناهم,2,,
وادخلني,2,,
وادخلهم,2,,
وادخلوا,2,,
وادخلي,2,,
وادريس,2,,
وادع,2,,
وادعو,2,,
وادعوا,2,,
وادعوه,2,,
وادكر,2,,
وادني,2,,
واذ,2,,
واذا,2,,
واذان,2,,
واذكر,2,,
واذكرن,2,,
واذكروا,2,,
واذكروه,2,,
واذن,2,,
واذنت,2,,
وارادوا,2,,
وارتابت,2,,
وارتبتم,2,,
وارتقبوا,2,,
وارجعوا,2,,
وارجلكم,2,,
وارجلهم,2,,
وارجلهن,2,,
وارجوا,2,,
وارحم,2,,
وارحمنا,2,,
وارزق,2,,
وارزقنا,2,,
وارزقهم,2,,
وارزقوهم,2,,
وارسل,2,,
وارسلنا,2,,
وارسلناك,2,,
وارسلناه,2,,
وارصادا,2,,
وارض,2,,
وارضا,2,,
وارعوا,2,,
واركعوا,2,,
واركعي,2,,
وارنا,2,,
واري,2,,
وازدادوا,2,,
وازدجر,2,,
وازلفت,2,,
وازلفنا,2,,
وازواج,2,,
وازواجكم,2,,
وازواجه,2,,
وازواجهم,2,,
وازينت,2,,
واسال,2,,
واسالهم,2,,
واسالوا,2,,
واسبغ,2,,
واستبرق,2,,
واستبقا,2,,
واستحيوا,2,,
واسترهبوهم,2,,
واستشهدوا,2,,
واستعمركم,2,,
واستعينوا,2,,
واستغشوا,2,,
واستغفر,2,,
واستغفره,2,,
واستغفروا,2,,
واستغفروه,2,,
واستغفري,2,,
واستغني,2,,
واستفتحوا,2,,
واستفزز,2,,
واستقم,2,,
واستكبر,2,,
واستكبرت,2,,
واستكبرتم,2,,
واستكبروا,2,,
واستمتعتم,2,,
واستمع,2,,
واستوت,2,,
واستوي,2,,
واستيقنتها,2,,
واسجد,2,,
واسجدوا,2,,
واسجدي,2,,
واسحاق,2,,
واسرائيل,2,,
واسرافنا,2,,
واسرحكن,2,,
واسررت,2,,
واسروا,2,,
واسروه,2,,
واسقيناكم,2,,
واسلحتهم,2,,
واسلمت,2,,
واسلموا,2,,
واسلنا,2,,
واسماعيل,2,,
واسمع,2,,
واسمعوا,2,,
واسيرا,2,,
واشتروا,2,,
واشتعل,2,,
واشد,2,,
واشدد,2,,
واشربوا,2,,
واشربي,2,,
واشرقت,2,,
واشرك,2,,
واشركه,2,,
واشعارها,2,,
واشفقن,2,,
واشكروا,2,,
واشهد,2,,
واشهدهم,2,,
واشهدوا,2,,
واصابه,2,,
واصبح,2,,
واصبر,2,,
واصبروا,2,,
واصحاب,2,,
واصروا,2,,
واصطبر,2,,
واصطفاك,2,,
واصطنعتك,2,,
واصفاكم,2,,
واصفح,2,,
واصفحوا,2,,
واصلح,2,,
واصلحا,2,,
واصلحنا,2,,
واصلحوا,2,,
واصنع,2,,
واصيلا,2,,
واضرب,2,,
واضربوا,2,,
واضربوهن,2,,
واضعف,2,,
واضل,2,,
واضله,2,,
واضلهم,2,,
واضلوا,2,,
واضمم,2,,
واطراف,2,,
واطعموا,2,,
واطعن,2,,
واطعنا,2,,
واطغي,2,,
واطمانوا,2,,
واطهر,2,,
واطيعوا,2,,
واطيعون,2,,
واظهره,2,,
واعانه,2,,
واعبد,2,,
واعبدوا,2,,
واعبدوه,2,,
واعتدت,2,,
واعتدنا,2,,
واعتزلكم,2,,
واعتصموا,2,,
واعد,2,,
واعرض,2,,
واعز,2,,
واعطي,2,,
واعظم,2,,
واعف,2,,
واعلم,2,,
واعلموا,2,,
واعملوا,2,,
واعمي,2,,
واعناب,2,,
واعنابا,2,,
واعوذ,2,,
واعينهم,2,,
واغرقنا,2,,
واغضض,2,,
واغطش,2,,
واغفر,2,,
واغلالا,2,,
واغلظ,2,,
وافئدة,2,,
وافئدتهم,2,,
وافعلوا,2,,
وافوض,2,,
واقام,2,,
واقاموا,2,,
واقبل,2,,
واقبلوا,2,,
واقترب,2,,
واقتلوهم,2,,
واقرب,2,,
واقرضتم,2,,
واقرضوا,2,,
واقسطوا,2,,
واقسموا,2,,
واقصد,2,,
واقعدوا,2,,
واقل,2,,
واقم,2,,
واقمن,2,,
واقني,2,,
واقوم,2,,
واقيموا,2,,
واكبر,2,,
واكتب,2,,
واكثر,2,,
واكثرهم,2,,
واكدي,2,,
واكسوهم,2,,
واكفروا,2,,
واكلهم,2,,
واكن,2,,
واكواب,2,,
واكيد,2,,
والا,2,,
والابرص,2,,
والابصار,2,,
والابكار,2,,
والاثم,2,,
والاحبار,2,,
والاحزاب,2,,
والاحسان,2,,
والاخر,2,,حدید ۳ میتونه باشه؟
والاخرة,2,,
والاخرين,2,,
والاذن,2,,
والاذي,2,,
والارحام,2,,
والازلام,2,,
والاسباط,2,,
والاشراق,2,,
والاصال,2,,
والاصم,2,,
والاعناب,2,,
والاعناق,2,,
والاغلال,2,,
والافئدة,2,,
والاقدام,2,,
والاقربون,2,,
والاقربين,2,,
والاكرام,2,,
والامر,2,,
والاميين,2,,
والانثي,2,,
والانجيل,2,,
والانس,2,,
والانصاب,2,,
والانصار,2,,
والانعام,2,,
والانف,2,,
والانفس,2,,
والاولاد,2,,
والاولي,2,,
والاولين,2,,
والايمان,2,,
والباد,2,,
والباطل,2,,
والباطن,2,,
والباقيات,2,,
والبدن,2,,
والبصر,2,,
والبصير,2,,
والبغال,2,,
والبغضاء,2,,
والبغي,2,,
والبلد,2,,
والبنون,2,,
والبنين,2,,
والترائب,2,,
والتفت,2,,
والتقوي,2,,
والتوراة,2,,
والتي,2,,
والثمرات,2,,
والجار,2,,
والجان,2,,
والجبال,2,,
والجبلة,2,,
والجراد,2,,
والجروح,2,,
والجسم,2,,
والجلود,2,,
والجن,2,,
والجوع,2,,
والحافظات,2,,
والحافظون,2,,
والحافظين,2,,
والحب,2,,
والحج,2,,
والحجارة,2,,
والحرث,2,,
والحرمات,2,,
والحساب,2,,
والحق,2,,
والحقني,2,,
والحكم,2,,
والحكمة,2,,
والحمد,2,,
والحمير,2,,
والحياة,2,,
والخاشعات,2,,
والخاشعين,2,,
والخامسة,2,,
والخبيثون,2,,
والخنازير,2,,
والخوف,2,,
والخير,2,,
والخيل,2,,
والدار,2,,
والدم,2,,
والدواب,2,,
والذاكرات,2,,
والذاكرين,2,,
والذكر,2,,
والذي,2,,
والذين,2,,
والراسخون,2,,
والربانيون,2,,
والرجز,2,,
والرسول,2,,
والرقيم,2,,
والركب,2,,
والركع,2,,
والرمان,2,,
والرهبان,2,,
والروح,2,,
والريحان,2,,
والزاني,2,,
والزانية,2,,
والزبر,2,,
والزرع,2,,
والزكاة,2,,
والزمهم,2,,
والزيتون,2,,
والسائلين,2,,
والسابقون,2,,
والسارق,2,,
والسارقة,2,,
والساعة,2,,
والسحاب,2,,
والسراء,2,,
والسعة,2,,
والسلاسل,2,,
والسلام,2,,
والسلوي,2,,
والسماوات,2,,
والسميع,2,,
والسن,2,,
والسنتهم,2,,
والسوء,2,,
والسيئات,2,,
والشجر,2,,
والشجرة,2,,
والشعراء,2,,
والشمائل,2,,
والشهادة,2,,
والشهداء,2,,
والشهر,2,,
والشياطين,2,,
والصائمات,2,,
والصائمين,2,,
والصابئون,2,,
والصابئين,2,,
والصابرات,2,,
والصابرين,2,,
والصاحب,2,,
والصادقات,2,,
والصادقين,2,,
والصالحين,2,,
والصديقين,2,,
والصلاة,2,,
والصلح,2,,
والصيف,2,,
والضراء,2,,
والضفادع,2,,
والضلال,2,,
والطارق,2,,
والطاغوت,2,,
والطيب,2,,
والطيبات,2,,
والطيبون,2,,
والطير,2,,
والظالمون,2,,
والظالمين,2,,
والظاهر,2,,
والعافين,2,,
والعاقبة,2,,
والعاكفين,2,,
والعاملين,2,,
والعبد,2,,
والعدوان,2,,
والعذاب,2,,
والعزي,2,,
والعشي,2,,
والعصيان,2,,
والعمرة,2,,
والعمل,2,,
والعنهم,2,,
والعير,2,,
والعين,2,,
والغارمين,2,,
والغاوون,2,,
والغنم,2,,
والغوا,2,,
والف,2,,
والفتح,2,,
والفتنة,2,,
والفحشاء,2,,
والفرقان,2,,
والفسوق,2,,
والفضة,2,,
والفلك,2,,
والفواحش,2,,
والفواد,2,,
والفيا,2,,
والق,2,,
والقائلين,2,,
والقائمين,2,,
والقاسية,2,,
والقانتات,2,,
والقانتين,2,,
والقت,2,,
والقلائد,2,,
والقمل,2,,
والقناطير,2,,
والقوا,2,,
والقواعد,2,,
والقوه,2,,
والقي,2,,
والقيت,2,,
والقينا,2,,
والكاظمين,2,,
والكافرون,2,,
والكافرين,2,,
والكفار,2,,
واللائي,2,,
واللاتي,2,,
واللذان,2,,
والمتردية,2,,
والمتصدقات,2,,
والمتصدقين,2,,
والمجاهدون,2,,
والمجوس,2,,
والمحروم,2,,
والمحصنات,2,,
والمرجان,2,,
والمرجفون,2,,
والمروة,2,,
والمساكين,2,,
والمستضعفين,2,,
والمستغفرين,2,,
والمسجد,2,,
والمسكنة,2,,
والمسكين,2,,
والمسلمات,2,,
والمسيح,2,,
والمشركات,2,,
والمشركين,2,,
والمصدقات,2,,
والمطلقات,2,,
والمطلوب,2,,
والمعتر,2,,
والمغارب,2,,
والمغرب,2,,
والمغفرة,2,,
والمقيمي,2,,
والمقيمين,2,,
والمكذبين,2,,
والملائكة,2,,
والملك,2,,
والمنافقات,2,,
والمنافقين,2,,
والمنخنقة,2,,
والمنفقين,2,,
والمنكر,2,,
والمهاجرين,2,,
والموتفكات,2,,
والموتفكة,2,,
والموتون,2,,
والموتي,2,,
والموعظة,2,,
والموفون,2,,
والموقوذة,2,,
والمولفة,2,,
والمومنات,2,,
والمومنون,2,,
والمومنين,2,,
والميزان,2,,
والميسر,2,,
والنا,2,,
والنار,2,,
والناس,2,,
والناهون,2,,
والنبوة,2,,
والنبي,2,,
والنبيون,2,,
والنبيين,2,,
والنجوم,2,,
والنخل,2,,
والنخيل,2,,
والنذر,2,,
والنساء,2,,
والنسل,2,,
والنصاري,2,,
والنطيحة,2,,
والنور,2,,
والنوم,2,,
والنوي,2,,
واله,2,,
والهتك,2,,
والهدي,2,,
والهكم,2,,
والهنا,2,,
والوالدات,2,,
والوانكم,2,,
والوتر,2,,
والوزن,2,,
والولدان,2,,
والي,2,,
والياس,2,,
واليتامي,2,,
واليسع,2,,
واليك,2,,
والينا,2,,
واليه,2,,
واما,2,,
وامائكم,2,,
وامتازوا,2,,
وامتعتكم,2,,
وامددناكم,2,,
وامددناهم,2,,
وامر,2,,
وامراة,2,,
وامرات,2,,
وامراتان,2,,
وامراته,2,,
وامراتي,2,,
وامرت,2,,
وامرنا,2,,
وامره,2,,
وامرهم,2,,
وامروا,2,,
وامسحوا,2,,
وامضوا,2,,
وامطرنا,2,,
واملي,2,,
وامم,2,,
وامن,2,,فرقان۷۰ میتونه باشه؟
وامنا,2,,
وامنتم,2,,
وامنهم,2,,
وامنوا,2,,
وامه,2,,
وامهات,2,,
وامهاتكم,2,,
وامواتا,2,,
واموال,2,,
واموالا,2,,
واموالهم,2,,
وامي,2,,
واميت,2,,
وان,2,,
وانا,2,,
واناب,2,,
وانابوا,2,,
واناثا,2,,
واناسي,2,,
وانبئكم,2,,
وانبتت,2,,
وانبتنا,2,,
وانبتها,2,,
وانت,2,,
وانتصروا,2,,
وانتظر,2,,
وانتظروا,2,,
وانتم,2,,
وانثي,2,,
وانجينا,2,,
وانحر,2,,
وانذر,2,,
وانذرهم,2,,
وانزل,2,,
وانزلنا,2,,
وانشانا,2,,
وانشق,2,,
وانشقت,2,,
وانصتوا,2,,
وانصح,2,,
وانصرنا,2,,
وانصروا,2,,
وانطلق,2,,
وانظر,2,,
وانظرنا,2,,
وانظروا,2,,
وانعام,2,,
وانعمت,2,,
وانفسكم,2,,
وانفسنا,2,,
وانفسهم,2,,
وانفقوا,2,,
وانقلبوا,2,,
وانك,2,,
وانكحوا,2,,
وانكم,2,,
وانما,2,,
واننا,2,,
وانني,2,,
وانه,2,,
وانها,2,,
وانهار,2,,
وانهارا,2,,
وانهم,2,,
وانهما,2,,
واني,2,,
وانيبوا,2,,
واهجرني,2,,
واهجرهم,2,,
واهجروهن,2,,
واهدنا,2,,
واهديك,2,,
واهش,2,,
واهل,2,,
واهلك,2,,
واهلكنا,2,,
واهلنا,2,,
واهله,2,,
واهلها,2,,
واهلونا,2,,
واهلي,2,,
واهليكم,2,,
واهليهم,2,,
واوبارها,2,,
واوتيت,2,,
واوتينا,2,,
واوجس,2,,
واوحي,2,,
واوحينا,2,,
واوذوا,2,,
واورثكم,2,,
واورثنا,2,,
واورثناها,2,,
واوصاني,2,,
واوفوا,2,,
واولئك,2,,
واولئكم,2,,
واولات,2,,
واولادا,2,,
واولادكم,2,,
واولادهم,2,,
واولو,2,,
واولي,2,,
واويناهما,2,,
واياته,2,,
واياك,2,,
واياكم,2,,
واياما,2,,
واياهم,2,,
واياي,2,,
واية,2,,مائده ۱۱۴ میتونه باشه؟
وايتاء,2,,
وايدكم,2,,
وايدناه,2,,
وايده,2,,
وايدهم,2,,
وايدي,2,,
وايديكم,2,,
وايديهم,2,,
وايمانهم,2,,
وايوب,2,,
وبئر,2,,
وبئس,2,,
وباءوا,2,,
وبارك,2,,
وباركنا,2,,
وباطل,2,,
وباطنة,2,,
وباطنه,2,,
وبالاخرة,2,,
وبالاسحار,2,,
وبالحق,2,,
وبالذي,2,,
وبالرسول,2,,
وبالزبر,2,,
وبالكتاب,2,,
وبالليل,2,,
وبالمومنين,2,,
وبالنجم,2,,
وبالوالدين,2,,
وباليوم,2,,
وبايمانهم,2,,
وبث,2,,
وبدا,2,,
وبدارا,2,,
وبداره,2,,
وبدلناهم,2,,
وبذلك,2,,
وبذي,2,,
وبرا,2,,
وبرحمته,2,,
وبرزت,2,,
وبرزوا,2,,
وبرسوله,2,,
وبرسولي,2,,
وبرق,2,,
وبركات,2,,
وبركاته,2,,
وبست,2,,
وبسر,2,,
وبشر,2,,
وبشرناه,2,,
وبشروه,2,,
وبشري,2,,
وبشير,2,,
وبصدهم,2,,
وبصلها,2,,
وبطل,2,,
وبعثنا,2,,
وبعهد,2,,
وبعولتهن,2,,
وبقية,2,,
وبكفرهم,2,,
وبكلامي,2,,
وبكم,2,,
وبكما,2,,
وبكيا,2,,
وبلغ,2,,
وبلغت,2,,
وبلغنا,2,,
وبلوناهم,2,,
وبما,2,,
وبمن,2,,
وبنات,2,,
وبناتك,2,,
وبناتكم,2,,
وبنعمة,2,,
وبنعمت,2,,
وبني,2,,
وبنين,2,,
وبنينا,2,,
وبنيه,2,,
وبه,2,,
وبواكم,2,,
وبيع,2,,
وبين,2,,
وبينات,2,,
وبينك,2,,
وبينكم,2,,
وبينه,2,,
وبينهم,2,,
وبينهما,2,,
وبينوا,2,,
وتاب,2,,
وتابي,2,,
وتاتون,2,,
وتاسرون,2,,
وتاكلون,2,,
وتالله,2,,
وتب,2,,
وتبارك,2,,
وتبتل,2,,
وتبرئ,2,,
وتبغونها,2,,
وتبين,2,,
وتتخذون,2,,
وتتقوا,2,,
وتتلقاهم,2,,
وتثبيتا,2,,
وتجارة,2,,
وتجاهدون,2,,
وتجعلون,2,,
وتحبون,2,,
وتحرير,2,,
وتحسبهم,2,,
وتحسبونه,2,,
وتحشرون,2,,
وتحمل,2,,
وتحيتهم,2,,
وتخر,2,,
وتخرج,2,,
وتخرجون,2,,
وتخشي,2,,
وتخفون,2,,
وتخفي,2,,
وتخلت,2,,
وتخلقون,2,,
وتخونوا,2,,
وتدعوا,2,,
وتدعونني,2,,
وتدلوا,2,,
وتذرون,2,,
وتذكيري,2,,
وتذل,2,,
وتذهب,2,,
وتذوقوا,2,,
وتراهم,2,,
وتربصتم,2,,
وترجون,2,,
وترحمنا,2,,
وترحمني,2,,
وترزق,2,,
وترغبون,2,,
وتركتم,2,,
وتركنا,2,,
وتركهم,2,,
وتركوك,2,,
وترهقهم,2,,
وتري,2,,
وتزكيهم,2,,
وتزهق,2,,
وتزودوا,2,,
وتسبحوه,2,,
وتسبيحه,2,,
وتستخرجوا,2,,
وتستخرجون,2,,
وتسعون,2,,
وتسلموا,2,,
وتسليما,2,,
وتسود,2,,
وتسير,2,,
وتشاور,2,,
وتشتكي,2,,
وتشهد,2,,
وتصدق,2,,
وتصدون,2,,
وتصدية,2,,
وتصريف,2,,
وتصف,2,,
وتصفحوا,2,,
وتصلحوا,2,,
وتصلية,2,,
وتضحكون,2,,
وتضع,2,,
وتطمئن,2,,
وتظنون,2,,
وتعالي,2,,
وتعاونوا,2,,
وتعز,2,,
وتعزروه,2,,
وتعلم,2,,
وتعمل,2,,
وتعيها,2,,
وتغشي,2,,
وتغفروا,2,,
وتفاخر,2,,
وتفريقا,2,,
وتفصيل,2,,
