کلمه,علامت,توضیح ۱,توضیح ۲
وتفصيلا,2,,
وتفقد,2,,
وتقبل,2,,
وتقسطوا,2,,
وتقطعت,2,,
وتقطعوا,2,,
وتقطعون,2,,
وتقلبك,2,,
وتقواها,2,,
وتقول,2,,
وتقولوا,2,,
وتقولون,2,,
وتكاثر,2,,
وتكتموا,2,,
وتكتمون,2,,
وتكفرون,2,,
وتكلمنا,2,,
وتكون,2,,
وتكونوا,2,,
وتلذ,2,,
وتلك,2,,
وتله,2,,
وتماثيل,2,,
وتمت,2,,
وتمتعوا,2,,
وتناجوا,2,,
وتنازعتم,2,,
وتنحتون,2,,
وتنذر,2,,
وتنزع,2,,
وتنسون,2,,
وتنشق,2,,
وتنهون,2,,
وتهدي,2,,
وتواصوا,2,,
وتوبوا,2,,
وتوتوها,2,,
وتودون,2,,
وتوفنا,2,,
وتوفي,2,,
وتوفيقا,2,,
وتوقروه,2,,
وتوكل,2,,
وتول,2,,
وتولج,2,,
وتولوا,2,,
وتولي,2,,
وتومنون,2,,
وتووي,2,,
وثامنهم,2,,
وثبت,2,,
وثقالا,2,,
وثلاث,2,,
وثلة,2,,
وثلثه,2,,
وثمانية,2,,
وثمود,2,,
وثيابك,2,,
وجئتك,2,,
وجئتكم,2,,
وجئنا,2,,
وجاء,2,,
وجاءت,2,,
وجاءته,2,,
وجاءتهم,2,,
وجاءك,2,,
وجاءكم,2,,
وجاءه,2,,
وجاءهم,2,,
وجاءوا,2,,
وجادلهم,2,,
وجادلوا,2,,
وجاعل,2,,
وجاعلوه,2,,
وجاهد,2,,
وجاهدهم,2,,
وجاهدوا,2,,
وجاوزنا,2,,
وجبريل,2,,
وجحدوا,2,,
وجحيما,2,,
وجرين,2,,
وجزاء,2,,
وجزاهم,2,,
وجعل,2,,
وجعلت,2,,
وجعلكم,2,,
وجعلنا,2,,
وجعلناكم,2,,
وجعلناه,2,,
وجعلناها,2,,
وجعلناهم,2,,
وجعلني,2,,
وجعلها,2,,
وجعلوا,2,,
وجفان,2,,
وجلودهم,2,,
وجمع,2,,
وجنات,2,,
وجنة,2,,
وجنت,2,,
وجنوبهم,2,,
وجنود,2,,
وجنودا,2,,
وجنوده,2,,
وجنودهما,2,,
وجني,2,,
وجهاد,2,,
وجهرا,2,,
وجهركم,2,,
وجيء,2,,
وحاجه,2,,
وحاق,2,,
وحال,2,,
وحب,2,,
وحبط,2,,
وحبل,2,,
وحجرا,2,,
وحدائق,2,,
وحرام,2,,
وحرث,2,,
وحرض,2,,
وحرم,2,,
وحرمنا,2,,
وحرموا,2,,
وحريرا,2,,
وحزنا,2,,
وحزني,2,,
وحسبوا,2,,
وحسن,2,,
وحسنت,2,,
وحشر,2,,
وحشرنا,2,,
وحشرناهم,2,,
وحصل,2,,
وحصورا,2,,
وحصيد,2,,
وحفدة,2,,
وحفظا,2,,
وحفظناها,2,,
وحففناهما,2,,
وحق,2,,
وحقت,2,,
وحكما,2,,
وحكمة,2,,
وحلائل,2,,
وحلالا,2,,
وحلوا,2,,
وحمر,2,,
وحملت,2,,
وحملناه,2,,
وحملناهم,2,,
وحمله,2,,
وحملها,2,,
وحميم,2,,
وحنانا,2,,
وحور,2,,
وحيث,2,,
وحيل,2,,
وحين,2,,
وخاب,2,,
وخاتم,2,,
وخاف,2,,
وخافون,2,,
وخالاتكم,2,,
وختم,2,,
وخذ,2,,
وخذوا,2,,
وخذوهم,2,,
وخر,2,,
وخرقوا,2,,
وخروا,2,,
وخسر,2,,
وخسف,2,,
وخشعت,2,,
وخشي,2,,
وخضتم,2,,
وخفية,2,,
وخلق,2,,
وخلقته,2,,
وخلقنا,2,,
وخلقناكم,2,,
وخلقهم,2,,
وخير,2,,
وخيفة,2,,
وداعيا,2,,
ودانية,2,,
وداوود,2,,
ودخل,2,,
ودرسوا,2,,
ودسر,2,,
ودع,2,,
ودم,2,,
ودمرنا,2,,
ودون,2,,
وديارهم,2,,
ودية,2,,
ودين,2,,
وذا,2,,
وذات,2,,
وذر,2,,
وذرني,2,,
وذروا,2,,
وذرياتنا,2,,
وذرياتهم,2,,
وذرية,2,,
وذريته,2,,
وذريتها,2,,
وذكر,2,,
وذكرا,2,,
وذكرهم,2,,
وذكروا,2,,
وذكري,2,,
وذلة,2,,
وذلك,2,,
وذلكم,2,,
وذللت,2,,
وذللناها,2,,
وذو,2,,
وذوقوا,2,,
وذي,2,,
ورئاء,2,,
ورئيا,2,,
ورابطوا,2,,
وراعنا,2,,
ورافعك,2,,
وراوا,2,,
وراودته,2,,
وراي,2,,کهف ۵۳ میتونه باشه؟
ورايت,2,,
ورايتهم,2,,
ورب,2,,
وربائبكم,2,,
ورباع,2,,
وربت,2,,
وربطنا,2,,
وربكم,2,,
ورتل,2,,
ورتلناه,2,,
ورجلا,2,,
ورجلك,2,,
ورحمة,2,,
ورحمت,2,,
ورحمته,2,,
ورحمتي,2,,
وردوا,2,,
ورزق,2,,
ورزقا,2,,
ورزقكم,2,,
ورزقناهم,2,,
ورزقني,2,,
ورسالاته,2,,
ورسلا,2,,
ورسلنا,2,,
ورسله,2,,
ورسلي,2,,
ورسول,2,,
ورسولا,2,,
ورسوله,2,,
ورضوا,2,,
ورضوان,2,,
ورضوانا,2,,
ورضي,2,,
ورضيت,2,,
ورعد,2,,
ورفاتا,2,,
ورفع,2,,
ورفعنا,2,,
ورفعناه,2,,
ورماحكم,2,,
ورمان,2,,
ورهبا,2,,
ورهبانا,2,,
ورهبانهم,2,,
ورهبانية,2,,
ورواحها,2,,
وروح,2,,
وريحان,2,,
وريشا,2,,
وزادكم,2,,
وزاده,2,,
وزادهم,2,,
وزخرفا,2,,
وزدناهم,2,,
وزرابي,2,,
وزرع,2,,
وزروع,2,,
وزفيرا,2,,
وزكاة,2,,
وزكريا,2,,
وزلزلوا,2,,
وزلفا,2,,
وزنوا,2,,
وزنوهم,2,,
وزهق,2,,
وزوجك,2,,
وزوجناهم,2,,
وزوجه,2,,
وزورا,2,,
وزيادة,2,,
وزيتونا,2,,
وزين,2,,
وزينا,2,,
وزيناها,2,,
وزينة,2,,
وزينتها,2,,
وزينه,2,,
وساء,2,,
وساءت,2,,
وسار,2,,
وسارب,2,,
وسارعوا,2,,
وسبح,2,,
وسبحان,2,,
وسبحه,2,,
وسبحوا,2,,
وسبحوه,2,,
وسبع,2,,
وسبعة,2,,
وسبلا,2,,
وستردون,2,,
وسخر,2,,
وسخرنا,2,,
وسرابيل,2,,
وسراجا,2,,
وسرحوهن,2,,
وسررا,2,,
وسرورا,2,,
وسعة,2,,
وسعر,2,,
وسعي,2,,
وسعيد,2,,
وسعيرا,2,,
وسفرا,2,,
وسقاهم,2,,
وسقوا,2,,
وسقياها,2,,
وسكنتم,2,,
وسلام,2,,
وسلاما,2,,
وسلطان,2,,
وسلك,2,,
وسلموا,2,,
وسليمان,2,,
وسمعنا,2,,
وسمعهم,2,,
وسنجزي,2,,
وسنزيد,2,,
وسنقول,2,,
وسواء,2,,
وسوف,2,,
وسيجزي,2,,
وسيجنبها,2,,
وسيحبط,2,,
وسيحلفون,2,,
وسيدا,2,,
وسيرت,2,,
وسيري,2,,
وسيصلون,2,,
وسيعلم,2,,
وسيق,2,,
وشاركهم,2,,
وشاقوا,2,,
وشاورهم,2,,
وشجرة,2,,
وشددنا,2,,
وشراب,2,,
وشرابك,2,,
وشركاءكم,2,,
وشركاوكم,2,,
وشروه,2,,
وشفاء,2,,
وشفتين,2,,
وشقاق,2,,
وشمال,2,,
وشهبا,2,,
وشهد,2,,
وشهدوا,2,,
وشهيد,2,,
وشهيق,2,,
وشيء,2,,
وشيبة,2,,
وصابروا,2,,
وصاحبته,2,,
وصاحبهما,2,,
وصالح,2,,
وصبروا,2,,
وصبغ,2,,
وصد,2,,
وصدف,2,,
وصدق,2,,
وصدقت,2,,
وصدها,2,,
وصدوا,2,,
وصدوكم,2,,
وصرفنا,2,,
وصلوات,2,,
وصما,2,,
وصموا,2,,
وصهرا,2,,
وصوركم,2,,
وضائق,2,,
وضاق,2,,
وضاقت,2,,
وضحاها,2,,
وضرب,2,,
وضربت,2,,
وضربنا,2,,
وضعف,2,,
وضل,2,,
وضلوا,2,,
وضياء,2,,
وطائفة,2,,
وطبع,2,,
وطعام,2,,
وطعاما,2,,
وطعامكم,2,,
وطعامه,2,,
وطعنا,2,,
وطعنوا,2,,
وطفقا,2,,
وطلح,2,,
وطمعا,2,,
وطهر,2,,
وطهرك,2,,
وظالم,2,,
وظاهره,2,,
وظاهروا,2,,
وظل,2,,
وظلالهم,2,,
وظللنا,2,,
وظلما,2,,
وظلموا,2,,
وظلها,2,,
وظن,2,,
وظننتم,2,,
وظنوا,2,,
وظهر,2,,
وظهورهم,2,,
وعاد,2,,
وعادا,2,,
وعاشروهن,2,,
وعباد,2,,
وعبد,2,,
وعبقري,2,,
وعتوا,2,,
وعجبوا,2,,
وعجلت,2,,
وعدده,2,,
وعدسها,2,,
وعدلا,2,,
وعدو,2,,
وعدوا,2,,یونس ۹۰
وعدوكم,2,,
وعذاب,2,,
وعذابا,2,,
وعذب,2,,
وعذبناها,2,,
وعربي,2,,
وعرضنا,2,,
وعرضوا,2,,
وعزرتموهم,2,,
وعزروه,2,,
وعزني,2,,
وعسي,2,,
وعشرا,2,,
وعشيا,2,,
وعشيرتكم,2,,
وعصوا,2,,
وعصي,2,,
وعصيتم,2,,
وعصينا,2,,
وعصيهم,2,,
وعظاما,2,,
وعظهم,2,,
وعفا,2,,
وعقبي,2,,
وعلامات,2,,
وعلانية,2,,
وعلم,2,,
وعلما,2,,
وعلمتم,2,,
وعلمتني,2,,
وعلمك,2,,
وعلمناه,2,,
وعلمه,2,,
وعلوا,2,,
وعلي,2,,
وعليكم,2,,
وعلينا,2,,
وعليه,2,,
وعليها,2,,
وعليهم,2,,
وعماتكم,2,,
وعمارة,2,,
وعمروها,2,,
وعمل,2,,
وعمله,2,,
وعملوا,2,,
وعميانا,2,,
وعن,2,,
وعنب,2,,
وعنبا,2,,
وعنت,2,,
وعند,2,,
وعندنا,2,,
وعنده,2,,
وعندهم,2,,
وعهدنا,2,,
وعهدهم,2,,
وعيسي,2,,
وعيون,2,,
وغدوا,2,,قلم ۲۵
وغرابيب,2,,
وغرتكم,2,,
وغرتهم,2,,
وغركم,2,,
وغرهم,2,,
وغساق,2,,
وغساقا,2,,
وغضب,2,,
وغفر,2,,
وغلقت,2,,
وغواص,2,,
وغير,2,,
وغيض,2,,
وفار,2,,
وفاكهة,2,,
وفتح,2,,
وفتحت,2,,
وفتناك,2,,
وفجرنا,2,,
وفديناه,2,,
وفرادي,2,,
وفرحوا,2,,
وفرش,2,,
وفرشا,2,,
وفرضناها,2,,
وفرعها,2,,
وفرعون,2,,
وفريق,2,,
وفريقا,2,,
وفساد,2,,
وفصاله,2,,
وفصل,2,,
وفصيلته,2,,
وفضل,2,,
وفضلا,2,,
وفضلناهم,2,,
وفعلت,2,,
وفواكه,2,,
وفوق,2,,
وفومها,2,,
وفيكم,2,,
وفيه,2,,
وفيها,2,,
وقائما,2,,
وقابل,2,,
وقاتل,2,,
وقاتلوا,2,,
وقاتلوهم,2,,
وقارون,2,,
وقاسمهما,2,,
وقال,2,,
وقالا,2,,
وقالت,2,,
وقالوا,2,,
وقبائل,2,,
وقبل,2,,
وقبيله,2,,
وقتل,2,,
وقتلت,2,,
وقتلهم,2,,
وقتلوا,2,,
وقثائها,2,,
وقد,2,,
وقدت,2,,
وقدر,2,,
وقدرنا,2,,
وقدره,2,,
وقدمنا,2,,
وقدموا,2,,
وقدور,2,,
وقذف,2,,
وقران,2,,
وقرانا,2,,
وقرانه,2,,
وقربناه,2,,
وقرن,2,,
وقرونا,2,,
وقري,2,,
وقص,2,,
وقصر,2,,
وقضبا,2,,
وقضي,2,,
وقضينا,2,,
وقطعن,2,,
وقطعنا,2,,
وقطعناهم,2,,
وقعد,2,,
وقعدوا,2,,
وقعودا,2,,
وقفوهم,2,,
وقفينا,2,,
وقل,2,,
وقلبه,2,,
وقلبوا,2,,
وقلن,2,,
وقلنا,2,,
وقلوبهم,2,,
وقلوبهن,2,,
وقليل,2,,
وقمرا,2,,
وقنا,2,,
وقهم,2,,
وقول,2,,
وقولهم,2,,
وقولوا,2,,
وقوم,2,,
وقومك,2,,
وقومه,2,,
وقومها,2,,
وقومهم,2,,
وقومهما,2,,
وقوموا,2,,
وقياما,2,,
وقيضنا,2,,
وقيل,2,,
وقيله,2,,
وكادوا,2,,
وكاس,2,,
وكاسا,2,,
وكان,2,,
وكانت,2,,
وكانوا,2,,
وكاين,2,,
وكبراءنا,2,,
وكبره,2,,
وكبير,2,,
وكتبنا,2,,
وكتبه,2,,
وكثير,2,,
وكذب,2,,
وكذبتم,2,,
وكذبوا,2,,
وكذلك,2,,
وكره,2,,
وكرها,2,,
وكرهوا,2,,
وكسوتهن,2,,
وكشفت,2,,
وكشفنا,2,,
وكف,2,,
وكفر,2,,
وكفرا,2,,
وكفرت,2,,
وكفرتم,2,,
وكفرنا,2,,
وكفرهم,2,,
وكفروا,2,,
وكفلها,2,,
وكفي,2,,
وكلا,2,,
وكلبهم,2,,
وكلم,2,,
وكلما,2,,
وكلماته,2,,
وكلمة,2,,
وكلمته,2,,
وكلمه,2,,
وكلمهم,2,,
وكلهم,2,,
وكلوا,2,,
وكم,2,,
وكن,2,,
وكنا,2,,
وكنت,2,,
وكنتم,2,,
وكنوز,2,,
وكهلا,2,,
وكواعب,2,,
وكونوا,2,,
وكيف,2,,
ولئن,2,,
ولا,2,,
ولابويه,2,,
ولابين,2,,
ولات,2,,
ولاتم,2,,
ولاجر,2,,
ولاحل,2,,
ولاخواننا,2,,
ولاخي,2,,
ولادخلناهم,2,,
ولادخلنكم,2,,
ولادخلنهم,2,,
ولاصلبنكم,2,,
ولاضلنهم,2,,
ولاغوينهم,2,,
ولامة,2,,
ولامرنهم,2,,
ولامنينهم,2,,
ولانعامكم,2,,
ولاوضعوا,2,,
ولبئس,2,,
ولباس,2,,
ولباسهم,2,,
ولبثت,2,,
ولبثوا,2,,
ولبيوتهم,2,,
ولتبتغوا,2,,
ولتبلغوا,2,,
ولتتقوا,2,,
ولتجدن,2,,
ولتجدنهم,2,,
ولتجري,2,,
ولتجزي,2,,
ولتسالن,2,,
ولتستبين,2,,
ولتسمعن,2,,
ولتصغي,2,,
ولتصنع,2,,
ولتطمئن,2,,
ولتعرفنهم,2,,
ولتعلم,2,,
ولتعلمن,2,,
ولتعلموا,2,,
ولتعلن,2,,
ولتكبروا,2,,
ولتكملوا,2,,
ولتكون,2,,
ولتكونن,2,,
ولتنازعتم,2,,
ولتنذر,2,,
ولتنصرنه,2,,
ولتنظر,2,,
ولحم,2,,
ولدار,2,,
ولدينا,2,,
ولذكر,2,,
ولذلك,2,,
ولذي,2,,
ولربك,2,,
ولرسوله,2,,
ولزوجك,2,,
ولسانا,2,,
ولستم,2,,
ولسليمان,2,,
ولسوف,2,,
ولعب,2,,
ولعبا,2,,
ولعبد,2,,
ولعذاب,2,,
ولعلا,2,,
ولعلكم,2,,
ولعلهم,2,,
ولعنه,2,,
ولعنهم,2,,
ولعنوا,2,,
ولقاء,2,,
ولقائه,2,,
ولقاهم,2,,
ولقد,2,,
ولقومك,2,,
ولك,2,,
ولكل,2,,
ولكم,2,,
ولكن,2,,
ولكنا,2,,
وللاخرة,2,,
وللارض,2,,
وللبسنا,2,,
وللدار,2,,
وللذين,2,,
وللرجال,2,,
وللرسول,2,,
وللسيارة,2,,
وللكافرين,2,,
وللمطلقات,2,,
وللمومنين,2,,
وللنساء,2,,
ولله,2,,
ولم,2,,
ولما,2,,
ولملئت,2,,
ولمن,2,,
ولن,2,,
ولنا,2,,
ولنبلونكم,2,,
ولنبينه,2,,
ولنجزين,2,,
ولنجزينهم,2,,
ولنجعلك,2,,
ولنجعله,2,,
ولنحمل,2,,
ولنخرجنهم,2,,
ولنذيقنهم,2,,
ولنرسلن,2,,
ولنسالن,2,,
ولنسكننكم,2,,
ولنصبرن,2,,
ولنعلمه,2,,
ولنعم,2,,
ولنكونن,2,,
وله,2,,
ولها,2,,
ولهديناهم,2,,
ولهم,2,,
ولهن,2,,
ولهو,2,,
ولهوا,2,,
ولو,2,,
ولوالدي,2,,
ولوالديك,2,,
ولوطا,2,,
ولولا,2,,
ولولوا,2,,
ولوموا,2,,
وليا,2,,
ولياتينهم,2,,
وليبتلي,2,,
وليبدلنهم,2,,
وليبكوا,2,,
وليبلي,2,,
وليبينن,2,,
وليتبروا,2,,
وليتذكر,2,,
وليتمتعوا,2,,
وليحلفن,2,,
وليحملن,2,,
وليخزي,2,,
وليدخلوا,2,,
وليذكر,2,,
وليذيقكم,2,,
وليربط,2,,
وليرضوه,2,,
وليزيدن,2,,
وليس,2,,
وليسالن,2,,
وليسالوا,2,,
وليست,2,,
وليعلم,2,,
وليعلمن,2,,
وليعلموا,2,,
وليقترفوا,2,,
وليقول,2,,
وليكون,2,,
وليكونا,2,,
وليلبسوا,2,,
وليمحص,2,,
وليمسنكم,2,,
وليمكنن,2,,
ولينذروا,2,,
ولينصرن,2,,
وليوفيهم,2,,
وما,2,,
وماء,2,,
وماتوا,2,,
وماجوج,2,,
وماذا,2,,
وماروت,2,,
وماواكم,2,,
وماواه,2,,
وماواهم,2,,
ومبشرا,2,,
ومتاع,2,,
ومتاعا,2,,
ومتعناهم,2,,
ومتعوهن,2,,
ومثل,2,,
ومثلا,2,,
ومثله,2,,
ومثلهم,2,,
ومثواكم,2,,
ومحرم,2,,
ومحياي,2,,
ومخرج,2,,
ومرساها,2,,
ومرعاها,2,,
ومريم,2,,
ومزاجه,2,,
ومزقناهم,2,,
ومساجد,2,,
ومساكن,2,,
ومساكنكم,2,,
ومستودع,2,,
ومستودعها,2,,
ومشارب,2,,
ومشهود,2,,
ومصدقا,2,,
ومصيرا,2,,
ومضي,2,,
ومطهرك,2,,
ومعارج,2,,
ومعصيت,2,,
ومعين,2,,
ومغاربها,2,,
ومغانم,2,,
ومغفرة,2,,
ومقام,2,,
ومقاما,2,,
ومقتا,2,,
ومقصرين,2,,
ومكر,2,,
ومكرنا,2,,
ومكروا,2,,
وملئه,2,,
وملئهم,2,,
وملائكته,2,,
وملاه,2,,
وملك,2,,
وملكا,2,,
ومما,2,,
ومماتهم,2,,
ومماتي,2,,
وممن,2,,
ومن,2,,
ومنا,2,,
ومناة,2,,
ومنافع,2,,
ومنذرين,2,,
ومنك,2,,
ومنكم,2,,
ومنه,2,,
ومنها,2,,
ومنهاجا,2,,
ومنهم,2,,
ومهدت,2,,
ومهلهم,2,,
ومهيمنا,2,,
ومواليكم,2,,
وموسي,2,,
وموعظة,2,,
وميثاقه,2,,
وميكال,2,,
وناداهما,2,,
ونادوا,2,,
ونادي,2,,
وناديناه,2,,
وناي,2,,
ونبئهم,2,,
ونباتا,2,,
ونبلو,2,,
ونبلوكم,2,,
ونبيا,2,,
ونتبع,2,,
ونتجاوز,2,,
ونجعل,2,,
ونجعلهم,2,,
ونجنا,2,,
ونجني,2,,
ونجواهم,2,,
ونجينا,2,,
ونجيناه,2,,
ونجيناهم,2,,
ونجيناهما,2,,
ونحاس,2,,
ونحشر,2,,
ونحشره,2,,
ونحشرهم,2,,
ونحفظ,2,,
ونحن,2,,
ونحيا,2,,
ونخرج,2,,
ونخزي,2,,
ونخل,2,,
ونخلا,2,,
ونخوفهم,2,,
ونخيل,2,,
ونداء,2,,
وندخلكم,2,,
وندخلهم,2,,
ونذر,2,,
ونذرهم,2,,
ونذكرك,2,,
ونذير,2,,
ونذيرا,2,,
ونذيقه,2,,
ونراه,2,,
ونرثه,2,,
ونرد,2,,
ونري,2,,
ونريد,2,,
ونزداد,2,,
ونزع,2,,
ونزعنا,2,,
ونزل,2,,
ونزلنا,2,,
ونزلناه,2,,
ونساء,2,,
ونساءكم,2,,
ونساءنا,2,,
ونستحيي,2,,
ونسرا,2,؟؟؟؟؟,
ونسقيه,2,,
ونسكي,2,,
ونسوا,2,,
ونسوق,2,,
ونسوه,2,,
ونسي,2,,
ونصحت,2,,
ونصرناه,2,,
ونصرناهم,2,,
ونصروا,2,,
ونصروه,2,,
ونصفه,2,,
ونصله,2,,
ونصيرا,2,,
ونضع,2,,
ونطبع,2,,
ونطمع,2,,
ونعلم,2,,
ونعم,2,,
ونعمة,2,,
ونعمه,2,,
ونعيم,2,,
ونفاقا,2,,
ونفخ,2,,
ونفخت,2,,
ونفصل,2,,
ونفضل,2,,
ونفور,2,,
ونقدس,2,,
ونقر,2,,
ونقص,2,,
ونقلب,2,,
ونقلبهم,2,,
ونقول,2,,
ونكتب,2,,
ونكفر,2,,
ونكون,2,,
ونلعب,2,,
ونمارق,2,,
ونمد,2,,
ونمكن,2,,
ونمنعكم,2,,
ونميت,2,,
ونمير,2,,
وننزل,2,,
وننشئكم,2,,
ونهارا,2,,
ونهر,2,,
ونهوا,2,,
ونهي,2,,
ونوحا,2,,
ونودوا,2,,
ونور,2,,
ونورهم,2,,
ونيسرك,2,,
وهاجروا,2,,
وهارون,2,,
وهامان,2,,
وهداه,2,,
وهدوا,2,,
وهدي,2,,
وهديناه,2,,
وهديناهم,2,,
وهديناهما,2,,
وهذه,2,,
وهزي,2,,
وهل,2,,
وهم,2,,
وهما,2,,
وهمت,2,,
وهموا,2,,
وهو,2,,
وهولاء,2,,
وهي,2,,
وهيئ,2,,
وواعدنا,2,,
وواعدناكم,2,,
ووجد,2,,
ووجدك,2,,
ووجدوا,2,,
ووجوه,2,,
ووحينا,2,,
وودوا,2,,
وورث,2,,
وورثه,2,,
ووصي,2,,
ووصينا,2,,
ووضع,2,,
ووضعته,2,,
ووضعنا,2,,
ووعدتكم,2,,
ووفيت,2,,
ووقانا,2,,
ووقاهم,2,,
ووقع,2,,
وولدا,2,,
وولده,2,,
ووهبنا,2,,
وويل,2,,
ويا,2,,
ويابي,2,,
ويات,2,,
وياتوكم,2,,
وياتينا,2,,
وياتيه,2,,
وياخذ,2,,
وياكلون,2,,
ويامركم,2,,
ويامرون,2,,
ويامنوا,2,,
ويبسط,2,,
ويبسطوا,2,,
ويبشر,2,,
ويبصرون,2,,
ويبطل,2,,
ويبغون,2,,
ويبغونها,2,,
ويبقي,2,,
ويبين,2,,
ويتبع,2,,
ويتجنبها,2,,
ويتخذ,2,,
ويتخذها,2,,
ويتخطف,2,,
ويتربص,2,,
ويتعد,2,,
ويتعلمون,2,,
ويتفكرون,2,,
ويتقه,2,,
ويتلوه,2,,
ويتم,2,,
ويتمتعوا,2,,
ويتناجون,2,,
ويتوب,2,,
ويتولوا,2,,
ويتيما,2,,
ويثبت,2,,
ويجادل,2,,
ويجركم,2,,
ويجزي,2,,
ويجزيهم,2,,
ويجعل,2,,
ويجعلكم,2,,
ويجعله,2,,
ويجعلون,2,,
ويحب,2,,
ويحبون,2,,
ويحبونه,2,,
ويحذركم,2,,
ويحرم,2,,
ويحرمونه,2,,
ويحسبون,2,,
ويحفظن,2,,
ويحفظوا,2,,
ويحق,2,,
ويحل,2,,
ويحلفون,2,,
ويحمل,2,,
ويحيي,2,,
ويخافون,2,,
ويختار,2,,
ويخرج,2,,
ويخرجكم,2,,
ويخرجهم,2,,
ويخرون,2,,
ويخزهم,2,,
ويخش,2,,
ويخشون,2,,
ويخشونه,2,,
ويخلد,2,,
ويخلق,2,,
ويخوفونك,2,,
ويدخلكم,2,,
ويدخله,2,,
ويدخلهم,2,,
ويدرءون,2,,
ويدرا,2,,
ويدع,2,,
ويدعون,2,,
ويدعوننا,2,,
ويذبحون,2,,
ويذرك,2,,
ويذرهم,2,,
ويذرون,2,,
ويذكر,2,,
ويذكروا,2,,
ويذهب,2,,
ويذهبا,2,,
ويذيق,2,,
ويربي,2,,
ويرث,2,,
ويرجو,2,,
ويرجون,2,,
ويرحم,2,,
ويرزقه,2,,
ويرسل,2,,
ويرضي,2,,
ويرضين,2,,
ويري,2,,
ويريد,2,,
ويريدون,2,,
ويريكم,2,,
ويزداد,2,,
ويزدكم,2,,
ويزكيكم,2,,
ويزكيهم,2,,
ويزيد,2,,
ويزيدهم,2,,
ويسارعون,2,,
ويسالون,2,,
ويسالونك,2,,
ويسبح,2,,
ويسبحونه,2,,
ويستاذن,2,,
ويستبدل,2,,
ويستبشرون,2,,
ويستجيب,2,,
ويستحيون,2,,
ويستحيي,2,,
ويستخرجا,2,,
ويستخلف,2,,
ويستخلفكم,2,,
ويستعجلونك,2,,
ويستغفروا,2,,
ويستغفرون,2,,
ويستغفرونه,2,,
ويستفتونك,2,,
ويستكبر,2,,
ويستنبئونك,2,,
ويستهزا,2,,
ويسخرون,2,,
ويسر,2,,
ويسعون,2,,
ويسفك,2,,
ويسقون,2,,
ويسقي,2,,
ويسقين,2,,
ويسلموا,2,,
ويشترون,2,,
ويشرب,2,,
ويشف,2,,
ويشهد,2,,
ويصبر,2,,
ويصدكم,2,,
ويصدون,2,,
ويصرفه,2,,
ويصلح,2,,
ويصلي,2,,
ويصنع,2,,
ويضرب,2,,
ويضع,2,,
ويضل,2,,
ويضيق,2,,
ويطاف,2,,
ويطعمون,2,,
ويطهركم,2,,
ويطوف,2,,
ويطيعون,2,,
ويعبدون,2,,
ويعذب,2,,
ويعظم,2,,
ويعف,2,,
ويعفو,2,,
ويعقوب,2,,
ويعلم,2,,
ويعلمك,2,,
ويعلمكم,2,,
ويعلمه,2,,
ويعلمهم,2,,
ويعلمون,2,,
ويعمل,2,,
ويعملون,2,,
ويعوق,2,,
ويعيد,2,,
ويغفر,2,,
ويفسدون,2,,
ويفعل,2,,
ويفعلون,2,,
ويقبضن,2,,
ويقبضون,2,,
ويقتلون,2,,
ويقدر,2,,
ويقذفون,2,,
ويقطع,2,,
ويقطعون,2,,
ويقللكم,2,,
ويقول,2,,
ويقولوا,2,,
ويقولون,2,,
ويقيموا,2,,
ويقيمون,2,,
ويكتمون,2,,
ويكشف,2,,
ويكفر,2,,
ويكفرون,2,,
ويكفوا,2,,
ويكلم,2,,
ويكور,2,,زمر۵
ويكون,2,,
ويكونون,2,,
ويلبسون,2,,
ويلعب,2,,
ويلعبوا,2,,
ويلعن,2,,
ويلعنهم,2,,
ويلقوا,2,,
ويلقون,2,,
ويمح,2,,
ويمحق,2,,
ويمددكم,2,,
ويمدهم,2,,
ويمسك,2,,
ويمشون,2,,
ويمشي,2,,
ويمكر,2,,
ويمكرون,2,,
ويمنعون,2,,
ويمنيهم,2,,
ويميت,2,,
ويناون,2,,
وينجي,2,,
وينذر,2,,
وينذرونكم,2,,
وينزل,2,,
وينشئ,2,,
وينشر,2,,
وينصرك,2,,
وينصركم,2,,
وينصرون,2,,
وينعه,2,,
وينفقوا,2,,
وينقلب,2,,
وينهاهم,2,,
وينهون,2,,
وينهي,2,,
ويهب,2,,
ويهدي,2,,
ويهديك,2,,
ويهديكم,2,,
ويهديه,2,,
ويهديهم,2,,
ويهلك,2,,
ويهيئ,2,,
ويوت,2,,
ويوتوا,2,,
ويوتون,2,,
ويوثرون,2,,
ويوخركم,2,,
ويوسف,2,,
ويولج,2,,
ويولون,2,,
ويوم,2,,
ويومئذ,2,,
ويومن,2,,
ويومنون,2,,
ويونس,2,,